0.000	1.219	大家好
1.219	3.381	研一别脱产离校实习
3.381	4.919	不是实习不好
4.919	7.153	是人不能整段离开工位
7.153	9.780	脱产全职离校，风险极高
9.780	11.968	导师随时可能叫你开会
11.968	14.074	临时组会，说开就开
14.074	16.007	周末也可能派跑腿
16.007	17.685	跑腿要人在场
17.685	20.046	人一不在，名单就对不上
20.046	22.095	工位空了，就是把柄
22.095	23.843	私自离开合肥
23.843	25.706	查岗对上空座位
25.706	27.442	空座位解释不清
27.442	29.884	师生矛盾，往往从这里起
29.884	31.296	车票可以买
31.296	32.616	人先别走
32.616	34.537	研一把人挪出工位
34.537	36.192	先别把人挪走
36.192	38.403	不要把人整段挪出合肥
38.403	39.838	活可以再谈
39.838	41.331	人不能先空
41.331	43.044	人先留在工位
43.044	44.410	记住这一条
44.410	46.447	人在，事才谈得上
46.447	48.312	研一先把人留下
